Date,NQH2O,,"Nasdaq provides either actual historical index values or back-tested histories for certain indexes. All back-tested index values for periods prior to the launch date of an index are merely indicative, and they are provided “AS IS” for informational and educational purposes only.  Nasdaq makes no guarantee as to the accuracy, timeliness, completeness, or fitness for any particular purpose of or for any index values, either historical or back-tested. Nothing contained herein should be construed as investment advice, either on behalf of a particular security or an overall investment strategy. Past performance is not indicative of future results."
1/9/13,222.02,,
1/16/13,146.89,,
1/23/13,113.34,,
1/30/13,109.68,,
2/6/13,109.77,,
2/13/13,153.63,,
2/20/13,219.97,,
2/27/13,247.39,,
3/6/13,250.63,,
3/13/13,250.6,,
3/20/13,253.97,,
3/27/13,258.8,,
4/3/13,291.74,,
4/10/13,292.48,,
4/17/13,289.54,,
4/24/13,282.81,,
5/1/13,278.4,,
5/8/13,273.18,,
5/15/13,273.74,,
5/22/13,283.94,,
5/29/13,291.97,,
6/5/13,298.38,,
6/12/13,305.22,,
6/19/13,309.06,,
6/26/13,315.62,,
7/3/13,244.15,,
7/10/13,256.54,,
7/17/13,270.31,,
7/24/13,282.33,,
7/31/13,284.34,,
8/7/13,281.64,,
8/14/13,284.16,,
8/21/13,288.55,,
8/28/13,287.99,,
9/4/13,285.26,,
9/11/13,284.52,,
9/18/13,284.96,,
9/25/13,285.11,,
10/2/13,282.3,,
10/9/13,281.06,,
10/16/13,280.43,,
10/23/13,280.75,,
10/30/13,281.41,,
11/6/13,284.78,,
11/13/13,293.4,,
11/20/13,302.58,,
11/27/13,308.47,,
12/4/13,308,,
12/11/13,309.52,,
12/18/13,310.26,,
12/25/13,310.35,,
1/1/14,306.58,Drought,
1/8/14,300.15,,
1/15/14,287.13,,
1/22/14,274.34,,
1/29/14,261.22,,
2/5/14,251.98,,
2/12/14,248.77,,
2/19/14,245.54,,
2/26/14,242.28,,
3/5/14,247.78,,
3/12/14,266.58,,
3/19/14,298.03,,
3/26/14,360.23,,
4/2/14,462.32,,
4/9/14,564.46,,
4/16/14,635.85,,
4/23/14,688.42,,
4/30/14,729.74,,
5/7/14,762.95,,
5/14/14,796.03,,
5/21/14,818.6,,
5/28/14,833.25,,
6/4/14,849.09,,
6/11/14,855.86,,
6/18/14,837.42,,
6/25/14,801.08,,
7/2/14,657.74,,
7/9/14,624.91,,
7/16/14,556.79,,
7/23/14,489.16,,
7/30/14,455.06,,
8/6/14,445.25,,
8/13/14,424.86,,
8/20/14,404.9,,
