,Date,baselineDemand,,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,buildStatus,fixedCharge,tieredPrices,pedReduction,month
0,2020-01-01,1772.8926469820963,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,1
1,2020-02-01,1905.2934580245374,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,2
2,2020-03-01,2006.629006953701,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,3
3,2020-04-01,2170.880527329925,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,4
4,2020-05-01,2699.962024835787,,1913.0,369.4,29582.437975164212,1.1368683772161603e-13,2330.562024835787,,,0,,29.52,,0,5
5,2020-06-01,3128.010226065199,,1913.0,369.4,28736.827749099015,1.1368683772161603e-13,2758.6102260651987,,,0,,29.52,,0,6
6,2020-07-01,3235.073680632368,,1913.0,369.4,27784.154068466647,1.1368683772161603e-13,2865.673680632368,,,0,,29.52,,0,7
7,2020-08-01,3106.0865843269653,,1913.0,369.4,26960.46748413968,1.1368683772161603e-13,2736.686584326965,,,0,,29.52,,0,8
8,2020-09-01,2827.710294478983,,1913.0,369.4,26415.1571896607,1.1368683772161603e-13,2458.310294478983,,,0,,29.52,,0,9
9,2020-10-01,2564.7139679467127,,1913.0,369.4,26132.843221713985,1.1368683772161603e-13,2195.3139679467126,,,0,,29.52,,0,10
10,2020-11-01,2213.368187237108,,1913.0,369.4,26201.875034476878,1.1368683772161603e-13,1843.968187237108,,,0,,29.52,,0,11
11,2020-12-01,1823.0939336970443,,1913.0,369.4,26661.18110077983,0,1453.6939336970445,,,0,,29.52,,0,12
12,2021-01-01,1772.8926469820963,,1913.0,369.4,27170.688453797735,1.1368683772161603e-13,1403.4926469820962,,,0,,29.52,,0,1
13,2021-02-01,1905.2934580245374,,1913.0,369.4,27547.794995773198,1.1368683772161603e-13,1535.8934580245373,,,0,,29.52,,0,2
14,2021-03-01,2006.629006953701,,1913.0,369.4,27823.565988819497,0,1637.2290069537012,,,0,,29.52,,0,3
15,2021-04-01,2170.880527329925,,1913.0,369.4,27935.085461489572,1.1368683772161603e-13,1801.4805273299248,,,0,,29.52,,0,4
16,2021-05-01,2699.962024835787,,1913.0,369.4,27517.523436653784,1.1368683772161603e-13,2330.562024835787,,,0,,29.52,,0,5
17,2021-06-01,3128.010226065199,,1913.0,369.4,26671.913210588587,1.1368683772161603e-13,2758.6102260651987,,,0,,29.52,,0,6
18,2021-07-01,3235.073680632368,,1913.0,369.4,25719.23952995622,1.1368683772161603e-13,2865.673680632368,,,0,,29.52,,0,7
19,2021-08-01,3106.0865843269653,,1913.0,369.4,24895.552945629253,1.1368683772161603e-13,2736.686584326965,,,0,,29.52,,0,8
20,2021-09-01,2827.710294478983,,1913.0,369.4,24350.24265115027,1.1368683772161603e-13,2458.310294478983,,,0,,29.52,,0,9
21,2021-10-01,2564.7139679467127,,1913.0,369.4,24067.928683203558,1.1368683772161603e-13,2195.3139679467126,,,0,,29.52,,0,10
22,2021-11-01,2213.368187237108,,1913.0,369.4,24136.96049596645,1.1368683772161603e-13,1843.968187237108,,,0,,29.52,,0,11
23,2021-12-01,1823.0939336970443,,1913.0,369.4,24596.266562269404,0,1453.6939336970445,,,0,,29.52,,0,12
24,2022-01-01,1772.8926469820963,,1913.0,369.4,25105.773915287307,1.1368683772161603e-13,1403.4926469820962,,,0,,29.52,,0,1
25,2022-02-01,1905.2934580245374,,1913.0,369.4,25482.88045726277,1.1368683772161603e-13,1535.8934580245373,,,0,,29.52,,0,2
26,2022-03-01,2006.629006953701,,1913.0,369.4,25758.65145030907,0,1637.2290069537012,,,0,,29.52,,0,3
27,2022-04-01,2170.880527329925,,1913.0,369.4,25870.170922979145,1.1368683772161603e-13,1801.4805273299248,,,0,,29.52,,0,4
28,2022-05-01,2699.962024835787,,1913.0,369.4,25452.608898143357,1.1368683772161603e-13,2330.562024835787,,,0,,29.52,,0,5
29,2022-06-01,3128.010226065199,,1873.14583333333,369.4,24567.14450541149,1.1368683772161603e-13,2758.6102260651987,,,0,,29.52,,0,6
30,2022-07-01,3235.073680632368,,1833.29166666667,369.4,23534.762491445792,1.1368683772161603e-13,2865.673680632368,,,0,,29.52,,0,7
31,2022-08-01,3106.0865843269653,,1793.4375,369.4,22591.513407118826,1.1368683772161603e-13,2736.686584326965,,,0,,29.52,,0,8
32,2022-09-01,2827.710294478983,,1753.58333333333,369.4,21886.78644597317,1.1368683772161603e-13,2458.310294478983,,,0,,29.52,,0,9
33,2022-10-01,2564.7139679467127,,1713.72916666667,369.4,21405.20164469313,1.1368683772161603e-13,2195.3139679467126,,,0,,29.52,,0,10
34,2022-11-01,2213.368187237108,,1673.875,369.4,21235.108457456023,1.1368683772161603e-13,1843.968187237108,,,0,,29.52,,0,11
35,2022-12-01,1823.0939336970443,,1634.02083333333,369.4,21415.435357092305,0,1453.6939336970445,,,0,,29.52,,0,12
36,2023-01-01,1772.8926469820963,,1594.16666666667,369.4,21606.10937677688,1.1368683772161603e-13,1403.4926469820962,,,0,,29.52,,0,1
37,2023-02-01,1905.2934580245374,,1554.3125,369.4,21624.528418752343,1.1368683772161603e-13,1535.8934580245373,,,0,,29.52,,0,2
38,2023-03-01,2006.629006953701,,1514.45833333333,369.4,21501.75774513197,0,1637.2290069537012,,,0,,29.52,,0,3
39,2023-04-01,2170.880527329925,,1474.60416666667,369.4,21174.881384468717,1.1368683772161603e-13,1801.4805273299248,,,0,,29.52,,0,4
40,2023-05-01,2699.962024835787,,1434.75,369.4,20279.06935963293,1.1368683772161603e-13,2330.562024835787,,,0,,29.52,,0,5
41,2023-06-01,3128.010226065199,,1434.75,369.4,18955.209133567732,1.1368683772161603e-13,2758.6102260651987,,,0,,29.52,,0,6
42,2023-07-01,3235.073680632368,,1434.75,369.4,17524.285452935364,1.1368683772161603e-13,2865.673680632368,,,0,,29.52,,0,7
43,2023-08-01,3106.0865843269653,,1434.75,369.4,16222.348868608398,1.1368683772161603e-13,2736.686584326965,,,0,,29.52,,0,8
44,2023-09-01,2827.710294478983,,1434.75,369.4,15198.788574129416,1.1368683772161603e-13,2458.310294478983,,,0,,29.52,,0,9
45,2023-10-01,2564.7139679467127,,1434.75,369.4,14438.224606182703,1.1368683772161603e-13,2195.3139679467126,,,0,,29.52,,0,10
46,2023-11-01,2213.368187237108,,1434.75,369.4,14029.006418945595,1.1368683772161603e-13,1843.968187237108,,,0,,29.52,,0,11
47,2023-12-01,1823.0939336970443,,1434.75,369.4,14010.06248524855,0,1453.6939336970445,,,0,,29.52,,0,12
48,2024-01-01,1772.8926469820963,,1434.75,369.4,14041.319838266454,1.1368683772161603e-13,1403.4926469820962,,,0,,29.52,,0,1
49,2024-02-01,1905.2934580245374,,1434.75,369.4,13940.176380241917,1.1368683772161603e-13,1535.8934580245373,,,0,,29.52,,0,2
50,2024-03-01,2006.629006953701,,1434.75,369.4,13737.697373288216,0,1637.2290069537012,,,0,,29.52,,0,3
51,2024-04-01,2170.880527329925,,1434.75,369.4,13370.966845958292,1.1368683772161603e-13,1801.4805273299248,,,0,,29.52,,0,4
52,2024-05-01,2699.962024835787,,1434.75,369.4,12475.154821122505,1.1368683772161603e-13,2330.562024835787,,,0,,29.52,,0,5
53,2024-06-01,3128.010226065199,,1434.75,369.4,11151.294595057307,1.1368683772161603e-13,2758.6102260651987,,,0,,29.52,,0,6
54,2024-07-01,3235.073680632368,,1434.75,369.4,9720.370914424939,1.1368683772161603e-13,2865.673680632368,,,0,,29.52,,0,7
55,2024-08-01,3106.0865843269653,,1434.75,369.4,8418.434330097974,1.1368683772161603e-13,2736.686584326965,,,0,,29.52,,0,8
56,2024-09-01,2827.710294478983,,1434.75,369.4,7394.874035618992,1.1368683772161603e-13,2458.310294478983,,YES,0,,29.52,,0,9
57,2024-10-01,2234.44196917704,,1434.75,369.4,6964.582066441952,1.1368683772161603e-13,1865.0419691770398,,,0.25,,34.45055195732341,,-0.06847988829615852,10
58,2024-11-01,1952.8875437825957,,1434.75,369.4,6815.844522659356,0,1583.4875437825958,,,0.25,,34.45055195732341,,-0.06847988829615852,11
59,2024-12-01,1640.1374006620804,,1434.75,369.4,6979.8571219972755,1.1368683772161603e-13,1270.7374006620803,,,0.25,,34.45055195732341,,-0.06847988829615852,12
60,2025-01-01,1599.908101745947,,1434.75,369.4,7184.0990202513285,1.1368683772161603e-13,1230.508101745947,,,0.25,,34.45055195732341,,-0.06847988829615852,1
61,2025-02-01,1706.0088045906582,,1434.75,369.4,7282.24021566067,1.1368683772161603e-13,1336.608804590658,,,0.25,,34.45055195732341,,-0.06847988829615852,2
62,2025-03-01,1787.2150515908554,,1434.75,369.4,7299.175164069815,0,1417.8150515908555,,,0.25,,34.45055195732341,,-0.06847988829615852,3
63,2025-04-01,1918.8396361989016,,1434.75,369.4,7184.485527870913,1.1368683772161603e-13,1549.4396361989016,,,0.25,,34.45055195732341,,-0.06847988829615852,4
64,2025-05-01,2342.824340714873,,1434.75,369.4,6645.8111871560395,1.1368683772161603e-13,1973.4243407148729,,,0.25,,34.45055195732341,,-0.06847988829615852,5
65,2025-06-01,2685.845011391103,,1434.75,369.4,5764.116175764937,1.1368683772161603e-13,2316.445011391103,,,0.25,,34.45055195732341,,-0.06847988829615852,6
66,2025-07-01,2771.6413723735004,,1434.75,369.4,4796.624803391436,1.1368683772161603e-13,2402.2413723735003,,,0.25,,34.45055195732341,,-0.06847988829615852,7
67,2025-08-01,2668.2762836844677,,1434.75,369.4,3932.4985197069686,1.1368683772161603e-13,2298.8762836844676,,,0.25,,34.45055195732341,,-0.06847988829615852,8
68,2025-09-01,2445.196683373664,,1434.75,369.4,3291.4518363333045,1.1368683772161603e-13,2075.796683373664,,,0.25,,34.45055195732341,,-0.06847988829615852,9
69,2025-10-01,2234.44196917704,,1434.75,369.4,2861.1598671562647,1.1368683772161603e-13,1865.0419691770398,,,0.25,,34.45055195732341,,-0.06847988829615852,10
70,2025-11-01,1952.8875437825957,,1434.75,369.4,2712.422323373669,0,1583.4875437825958,,,0.25,,34.45055195732341,,-0.06847988829615852,11
71,2025-12-01,1640.1374006620804,,1434.75,369.4,2876.4349227115886,1.1368683772161603e-13,1270.7374006620803,,,0.25,,34.45055195732341,,-0.06847988829615852,12
72,2026-01-01,1599.908101745947,,1434.75,369.4,3080.6768209656416,1.1368683772161603e-13,1230.508101745947,,,0.25,,34.45055195732341,,-0.06847988829615852,1
73,2026-02-01,1706.0088045906582,,1434.75,369.4,3178.8180163749835,1.1368683772161603e-13,1336.608804590658,,,0.25,,34.45055195732341,,-0.06847988829615852,2
74,2026-03-01,1787.2150515908554,,1434.75,369.4,3195.752964784128,0,1417.8150515908555,,,0.25,,34.45055195732341,,-0.06847988829615852,3
75,2026-04-01,1918.8396361989016,,1434.75,369.4,3081.0633285852264,1.1368683772161603e-13,1549.4396361989016,,,0.25,,34.45055195732341,,-0.06847988829615852,4
76,2026-05-01,2342.824340714873,,1434.75,369.4,2542.3889878703535,1.1368683772161603e-13,1973.4243407148729,,,0.25,,34.45055195732341,,-0.06847988829615852,5
77,2026-06-01,2685.845011391103,,1434.75,369.4,1660.6939764792505,1.1368683772161603e-13,2316.445011391103,,,0.25,,34.45055195732341,,-0.06847988829615852,6
78,2026-07-01,2771.6413723735004,,1434.75,369.4,693.2026041057502,1.1368683772161603e-13,2402.2413723735003,,,0.25,,34.45055195732341,,-0.06847988829615852,7
79,2026-08-01,2668.2762836844677,,1434.75,369.4,0.0,170.9236795787175,2127.95260410575,,,0.25,,34.45055195732341,,-0.06847988829615852,8
80,2026-09-01,2445.196683373664,,1434.75,369.4,0.0,641.0466833736642,1434.75,,,0.25,,34.45055195732341,,-0.06847988829615852,9
81,2026-10-01,2234.44196917704,,1434.75,369.4,0.0,430.29196917703996,1434.75,,,0.25,,34.45055195732341,,-0.06847988829615852,10
82,2026-11-01,1952.8875437825957,,1913.0,369.4,329.5124562174042,0,1583.4875437825958,,,0.25,,34.45055195732341,,-0.06847988829615852,11
83,2026-12-01,1640.1374006620804,,1913.0,369.4,971.7750555553239,1.1368683772161603e-13,1270.7374006620803,,,0.25,,34.45055195732341,,-0.06847988829615852,12
84,2027-01-01,1599.908101745947,,1913.0,369.4,1654.266953809377,1.1368683772161603e-13,1230.508101745947,,,0.25,,34.45055195732341,,-0.06847988829615852,1
85,2027-02-01,1706.0088045906582,,1913.0,369.4,2230.658149218719,1.1368683772161603e-13,1336.608804590658,,,0.25,,34.45055195732341,,-0.06847988829615852,2
86,2027-03-01,1787.2150515908554,,1913.0,369.4,2725.8430976278632,0,1417.8150515908555,,,0.25,,34.45055195732341,,-0.06847988829615852,3
87,2027-04-01,1918.8396361989016,,1913.0,369.4,3089.4034614289617,1.1368683772161603e-13,1549.4396361989016,,,0.25,,34.45055195732341,,-0.06847988829615852,4
88,2027-05-01,2342.824340714873,,1913.0,369.4,3028.979120714089,1.1368683772161603e-13,1973.4243407148729,,,0.25,,34.45055195732341,,-0.06847988829615852,5
89,2027-06-01,2685.845011391103,,1913.0,369.4,2625.534109322986,1.1368683772161603e-13,2316.445011391103,,,0.25,,34.45055195732341,,-0.06847988829615852,6
90,2027-07-01,2771.6413723735004,,1913.0,369.4,2136.2927369494855,1.1368683772161603e-13,2402.2413723735003,,,0.25,,34.45055195732341,,-0.06847988829615852,7
91,2027-08-01,2668.2762836844677,,1913.0,369.4,1750.416453265018,1.1368683772161603e-13,2298.8762836844676,,,0.25,,34.45055195732341,,-0.06847988829615852,8
92,2027-09-01,2445.196683373664,,1913.0,369.4,1587.6197698913538,1.1368683772161603e-13,2075.796683373664,,,0.25,,34.45055195732341,,-0.06847988829615852,9
93,2027-10-01,2234.44196917704,,1913.0,369.4,1635.577800714314,1.1368683772161603e-13,1865.0419691770398,,,0.25,,34.45055195732341,,-0.06847988829615852,10
94,2027-11-01,1952.8875437825957,,1913.0,369.4,1965.0902569317182,0,1583.4875437825958,,,0.25,,34.45055195732341,,-0.06847988829615852,11
95,2027-12-01,1640.1374006620804,,1913.0,369.4,2607.352856269638,1.1368683772161603e-13,1270.7374006620803,,,0.25,,34.45055195732341,,-0.06847988829615852,12
96,2028-01-01,1599.908101745947,,1913.0,369.4,3289.844754523691,1.1368683772161603e-13,1230.508101745947,,,0.25,,34.45055195732341,,-0.06847988829615852,1
97,2028-02-01,1706.0088045906582,,1913.0,369.4,3866.2359499330328,1.1368683772161603e-13,1336.608804590658,,,0.25,,34.45055195732341,,-0.06847988829615852,2
98,2028-03-01,1787.2150515908554,,1913.0,369.4,4361.420898342178,0,1417.8150515908555,,,0.25,,34.45055195732341,,-0.06847988829615852,3
99,2028-04-01,1918.8396361989016,,1913.0,369.4,4724.981262143276,1.1368683772161603e-13,1549.4396361989016,,,0.25,,34.45055195732341,,-0.06847988829615852,4
100,2028-05-01,2342.824340714873,,1913.0,369.4,4664.556921428402,1.1368683772161603e-13,1973.4243407148729,,,0.25,,34.45055195732341,,-0.06847988829615852,5
101,2028-06-01,2685.845011391103,,1913.0,369.4,4261.1119100373,1.1368683772161603e-13,2316.445011391103,,,0.25,,34.45055195732341,,-0.06847988829615852,6
102,2028-07-01,2771.6413723735004,,1913.0,369.4,3771.8705376637995,1.1368683772161603e-13,2402.2413723735003,,,0.25,,34.45055195732341,,-0.06847988829615852,7
103,2028-08-01,2668.2762836844677,,1913.0,369.4,3385.994253979332,1.1368683772161603e-13,2298.8762836844676,,,0.25,,34.45055195732341,,-0.06847988829615852,8
104,2028-09-01,2445.196683373664,,1913.0,369.4,3223.197570605668,1.1368683772161603e-13,2075.796683373664,,,0.25,,34.45055195732341,,-0.06847988829615852,9
105,2028-10-01,2234.44196917704,,1913.0,369.4,3271.155601428628,1.1368683772161603e-13,1865.0419691770398,,,0.25,,34.45055195732341,,-0.06847988829615852,10
106,2028-11-01,1952.8875437825957,,1913.0,369.4,3600.668057646032,0,1583.4875437825958,,,0.25,,34.45055195732341,,-0.06847988829615852,11
107,2028-12-01,1640.1374006620804,,1913.0,369.4,4242.930656983952,1.1368683772161603e-13,1270.7374006620803,,,0.25,,34.45055195732341,,-0.06847988829615852,12
108,2029-01-01,1599.908101745947,,1913.0,369.4,4925.422555238005,1.1368683772161603e-13,1230.508101745947,,,0.25,,34.45055195732341,,-0.06847988829615852,1
109,2029-02-01,1706.0088045906582,,1913.0,369.4,5501.813750647347,1.1368683772161603e-13,1336.608804590658,,,0.25,,34.45055195732341,,-0.06847988829615852,2
110,2029-03-01,1787.2150515908554,,1913.0,369.4,5996.998699056491,0,1417.8150515908555,,,0.25,,34.45055195732341,,-0.06847988829615852,3
111,2029-04-01,1918.8396361989016,,1913.0,369.4,6360.55906285759,1.1368683772161603e-13,1549.4396361989016,,,0.25,,34.45055195732341,,-0.06847988829615852,4
112,2029-05-01,2342.824340714873,,1913.0,369.4,6300.134722142717,1.1368683772161603e-13,1973.4243407148729,,,0.25,,34.45055195732341,,-0.06847988829615852,5
113,2029-06-01,2685.845011391103,,1913.0,369.4,5896.689710751614,1.1368683772161603e-13,2316.445011391103,,,0.25,,34.45055195732341,,-0.06847988829615852,6
114,2029-07-01,2771.6413723735004,,1913.0,369.4,5407.4483383781135,1.1368683772161603e-13,2402.2413723735003,,,0.25,,34.45055195732341,,-0.06847988829615852,7
115,2029-08-01,2668.2762836844677,,1913.0,369.4,5021.572054693646,1.1368683772161603e-13,2298.8762836844676,,,0.25,,34.45055195732341,,-0.06847988829615852,8
116,2029-09-01,2445.196683373664,,1913.0,369.4,4858.775371319982,1.1368683772161603e-13,2075.796683373664,,,0.25,,34.45055195732341,,-0.06847988829615852,9
117,2029-10-01,2234.44196917704,,1913.0,369.4,4906.7334021429415,1.1368683772161603e-13,1865.0419691770398,,,0.25,,34.45055195732341,,-0.06847988829615852,10
118,2029-11-01,1952.8875437825957,,1913.0,369.4,5236.245858360346,0,1583.4875437825958,,,0.25,,34.45055195732341,,-0.06847988829615852,11
119,2029-12-01,1640.1374006620804,,1913.0,369.4,5878.508457698265,1.1368683772161603e-13,1270.7374006620803,,,0.25,,34.45055195732341,,-0.06847988829615852,12
