,7500,12500,17500,22500,27500,32500,37500,42500,47500,55000,67500,87500,112500,137500,175000,250000
0,-135.1677452317879,-100.89986615894051,203.70350337748397,508.30687291390717,270.970080816777,372.5045373289183,791.6451197145694,805.8028304944812,677.1079068653421,1302.17305886468,2014.8370632198676,4721.345881911037,5991.167524569536,8941.87940297947,14959.363389496248,25766.183268366003
1,-132.10140569536432,-98.61090847682101,199.08240013245023,496.77570874172153,264.8230057836645,364.0541086534217,773.6863032437087,787.5228401501103,661.747417262693,1272.6326923607064,1969.1296014596028,4614.240081499778,5855.255263708608,8739.02895003841,14620.003675222075,25181.66610916468
2,-127.66641185430466,-95.30027927152287,192.3986770198676,480.09763331125794,255.93219653421625,351.83184863134653,747.7116062165561,761.0836139558498,639.5308049227372,1229.9070444174392,1903.0207087589404,4459.3278287883,5658.678846556291,8445.63661733576,14129.171454969977,24336.250925928034
3,-141.5896105960265,-105.69365298013207,213.3815258278147,532.4567046357614,283.84396114790275,390.2023540838852,829.2564475231786,844.0867959381899,709.2775328918322,1364.039742004415,2110.562654622516,4945.65862412362,6275.809923178807,9366.711122490065,15670.087811637968,26990.343363779248
4,-136.72776099337727,-102.06438496688764,206.05451304635784,514.1734110596027,274.09743635761583,376.8037356953643,800.7817585052978,815.1028681192051,684.9226337086092,1317.2018698629138,2038.0909657708607,4775.836500061589,6060.313575298013,9045.080597783442,15132.014362041058,26063.559332054298
5,-146.35556863311277,-109.25133996556275,220.56402596821215,550.3793919019864,293.39825261192055,403.3367079231787,857.1695226015098,872.4990659639733,733.1520738569535,1409.9538182134302,2181.604964889695,5112.131300820052,6487.055978709933,9681.998041970777,16197.548694066702,27898.84818512047
6,-150.52762361324508,-112.36569086622544,226.8514891072851,566.0686690807943,301.76194968476824,414.83434300927155,881.6042496774039,897.3707815215893,754.0515229827814,1450.146377362172,2243.794439082278,5257.859222564821,6671.9779086039725,9957.99593208111,16659.280791629877,28694.140975123384
7,-144.05690479470212,-107.5354359735096,217.09984243708652,541.735120847682,288.7901330860927,397.0018925562914,843.7067988842382,858.7955760953643,721.6371709668874,1387.8090519703312,2147.340628456689,5031.8400521292715,6385.170132238411,9529.932363906755,15943.14963155285,27460.66825076344
8,-144.03356620132442,-107.51801420662304,217.06467019072915,541.6473545880793,288.7433463284768,396.9375744609272,843.5701103309401,858.6564430161588,721.5202588582781,1387.5842136594172,2146.9927387818275,5031.024846019682,6384.135673740398,9528.38842391531,15940.566689159787,27456.219360437135
9,-136.55598594437078,-101.936158521854,205.79564078940433,513.527440100662,273.75307980397343,376.33034624105954,799.7757131725032,814.0788307613243,684.0621455523178,1315.547030976477,2035.5304530192318,4769.83647824535,6052.699827703311,9033.717000868926,15113.0035738169,26030.814927048155
10,-140.77422496688746,-105.08498483443762,212.15270523178845,529.3903952980131,282.2093617880794,387.9552584768212,824.4809291264899,839.2258725960265,705.1929485430462,1356.1845159145694,2098.4083556543046,4917.1775869079465,6239.668816490066,9312.770147517218,15579.846978605296,26834.91149267152
11,-130.77411476821177,-97.62011384105966,197.08211662251662,491.78434708609257,262.1621925165563,360.3962693377483,765.9126780854303,779.6101921721853,655.0984998013244,1259.8458956019867,1949.3447411801321,4567.878432555629,5796.424495430463,8651.223420820528,14473.108961037085,24928.652927500658
12,-135.1677452317879,-100.89986615894051,203.70350337748397,508.30687291390717,270.970080816777,372.5045373289183,791.6451197145694,805.8028304944812,677.1079068653421,1302.17305886468,2014.8370632198676,4721.345881911037,5991.167524569536,8941.87940297947,14959.363389496248,25766.183268366003
13,-132.10140569536432,-98.61090847682101,199.08240013245023,496.77570874172153,264.8230057836645,364.0541086534217,773.6863032437087,787.5228401501103,661.747417262693,1272.6326923607064,1969.1296014596028,4614.240081499778,5855.255263708608,8739.02895003841,14620.003675222075,25181.66610916468
14,-127.66641185430466,-95.30027927152287,192.3986770198676,480.09763331125794,255.93219653421625,351.83184863134653,747.7116062165561,761.0836139558498,639.5308049227372,1229.9070444174392,1903.0207087589404,4459.3278287883,5658.678846556291,8445.63661733576,14129.171454969977,24336.250925928034
15,-141.5896105960265,-105.69365298013207,213.3815258278147,532.4567046357614,283.84396114790275,390.2023540838852,829.2564475231786,844.0867959381899,709.2775328918322,1364.039742004415,2110.562654622516,4945.65862412362,6275.809923178807,9366.711122490065,15670.087811637968,26990.343363779248
16,-162.7711440397351,-121.50522019867509,245.3029917218538,612.111203642384,326.3064718543045,448.57587582781457,953.3116172682118,970.360557284768,815.3840877483443,1568.0974641225164,2426.2987687748346,5685.519642930463,7214.65901821192,10767.953092599337,18014.30281195364,31028.046823874167
17,-174.23281980132452,-130.06111900662296,262.5762213907289,655.2135617880788,349.28363406181,480.16274752759375,1020.43990785894,1038.6893642428256,872.8000879249447,1678.5164502540838,2597.148767725828,6085.870596214348,7722.685688940395,11526.18814520331,19282.796064365124,33212.9145060958
18,-179.19955192052998,-133.76867960264894,270.06129655629144,673.8912727152318,359.2404162913907,493.8504083443708,1049.5288686635758,1068.2985494304635,897.6803845033112,1726.364734954967,2671.183856050331,6259.356217339073,7942.830843576158,11854.757062001323,19832.477132892713,34159.69163705165
19,-171.4963152317882,-128.01837615894084,258.45219337748364,644.9227629139067,343.7977774834437,472.62130066225166,1004.4128558145696,1022.3756858278147,859.0918701986756,1652.1536332980136,2556.357891019868,5990.285776344372,7601.393014569537,11345.157576079471,18979.94003756292,32691.271727099345
