,Date,totalDemand,residentialDemand,otherDemand,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,fixedCharge,tieredPrices,pedReduction,annualRevenueLost,monthlyVolumeReduced,month
0,2009-01-01,267.5554366856944,221.93043668569445,45.625,218.65,13.73833333,2745.9328966443054,0.0,20,,,0,10.99,,0,,,1
1,2009-02-01,269.945847470803,216.895847470803,53.05,155.20999999,13.73833333,2800.0,0.0,259.40194249350225,,,0,10.99,,0,,,2
2,2009-03-01,264.11407978164834,209.61407978164834,54.5,210.93999999,13.73833333,2800.0,0.0,202.36503063835153,,,0,10.99,,0,,,3
3,2009-04-01,291.1244269118996,232.47442691189963,58.65,255.62999999,13.73833333,2749.2439064081004,0.0,20,,,0,10.99,,0,,,4
4,2009-05-01,270.5622651392516,267.2521540891476,64.7325,270.88000001,13.73833333,2716.2439064081004,0,20,,,0.16,19.36142426479578,,0.03987748737099927,10088769.045317277,42.76034465426361,5
5,2009-06-01,293.9634317730174,286.07095366708984,74.4075,287.58000001,13.73833333,2683.2439064081004,0,20,,,0.16,19.36142426479578,,0.03987748737099927,,,6
6,2009-07-01,301.17144520098253,294.225776596376,75.15,297.81999999,13.73833333,2645.2439064081004,0,20,,,0.16,19.36142426479578,,0.03987748737099927,,,7
7,2009-08-01,295.9689095127063,281.57791686257576,81.03,285.94000001,13.73833333,2607.2439064081004,0,20,,,0.16,19.36142426479578,,0.03987748737099927,,,8
8,2009-09-01,290.84274321310926,281.53229855281745,75.0425,261.78,13.73833333,2558.9194965249912,0.0,20,,,0.16,19.36142426479578,,0.03987748737099927,,,9
9,2009-10-01,276.9852264422175,266.9163974620205,72.6075,211.43,13.73833333,2601.274259912774,0.0,20,,,0.16,19.36142426479578,,0.03987748737099927,,,10
10,2009-11-01,293.2660450693852,231.1356542007638,71.3475,221.27,13.73833333,2524.1165481733888,0.0,20,,,0.0,10.99,,0.03987748737099927,0.0,0.0,11
11,2009-12-01,266.3517252420476,214.71658307183898,60.1975,177.21,13.73833333,2471.196226031341,0.0,20,,,0.0,10.99,,0.03987748737099927,,,12
12,2010-01-01,258.70540849952033,221.93043668569445,45.625,169.33026756,12.05666667,2615.129896761821,0.0,20,,,0.0,10.99,,0.03987748737099927,,,1
13,2010-02-01,261.2965860524639,216.895847470803,53.05,143.4904075,12.05666667,2555.324722539357,0.0,20,,,0.0,10.99,,0.03987748737099927,,,2
14,2010-03-01,255.75519696237205,209.61407978164834,54.5,205.51058001,12.05666667,2514.2034684669848,0.0,20,,,0.0,10.99,,0.03987748737099927,,,3
15,2010-04-01,281.85393088864004,232.47442691189963,58.65,193.6405773,12.05666667,2415.2034684669848,6.156686918640048,20,,,0.0,10.99,,0.03987748737099927,,,4
16,2010-05-01,321.3273096895853,267.2521540891476,64.7325,245.8005449,12.05666667,2337.3068740973995,0.0,20,,,0.0,10.99,,0.03987748737099927,,,5
17,2010-06-01,349.0706628250208,286.07095366708984,74.4075,313.0034509,12.05666667,2280.296328842379,0.0,20,,,0.0,10.99,,0.03987748737099927,,,6
18,2010-07-01,357.64279190593163,294.225776596376,75.15,316.60038094000004,12.05666667,2213.3105845464474,0.0,20,,,0.0,10.99,,0.03987748737099927,,,7
19,2010-08-01,351.3792970389361,281.57791686257576,81.03,297.69031063,12.05666667,2133.6782648075114,0.0,20,,,0.0,10.99,,0.03987748737099927,,,8
