,Date,baselineDemand,,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,buildStatus,fixedCharge,tieredPrices,pedReduction,month
0,2020-01-01,1917.0227801823576,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,1
1,2020-02-01,2071.3367516897715,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,2
2,2020-03-01,2189.443966343695,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,3
3,2020-04-01,2380.880138341624,,1913.0,369.4,29901.519861658377,1.1368683772161603e-13,2011.4801383416238,,,0,,29.52,,0,4
4,2020-05-01,2997.52792537858,,1913.0,369.4,29186.391936279797,1.1368683772161603e-13,2628.12792537858,,,0,,29.52,,0,5
5,2020-06-01,3496.4207751145364,,1913.0,369.4,27972.37116116526,1.1368683772161603e-13,3127.0207751145363,,,0,,29.52,,0,6
6,2020-07-01,3621.2038995341254,,1913.0,369.4,26633.567261631135,1.1368683772161603e-13,3251.8038995341253,,,0,,29.52,,0,7
7,2020-08-01,3470.8686338557636,,1913.0,369.4,25445.098627775373,1.1368683772161603e-13,3101.4686338557635,,,0,,29.52,,0,8
8,2020-09-01,3146.419330851334,,1913.0,369.4,24581.07929692404,1.1368683772161603e-13,2777.019330851334,,,0,,29.52,,0,9
9,2020-10-01,2839.895471068888,,1913.0,369.4,24023.583825855152,1.1368683772161603e-13,2470.495471068888,,,0,,29.52,,0,10
10,2020-11-01,2430.3997711045386,,1913.0,369.4,23875.584054750612,1.1368683772161603e-13,2060.9997711045385,,,0,,29.52,,0,11
11,2020-12-01,1975.532693126039,,1913.0,369.4,24182.451361624575,0,1606.1326931260392,,,0,,29.52,,0,12
12,2021-01-01,1917.0227801823576,,1913.0,369.4,24547.828581442216,1.1368683772161603e-13,1547.6227801823575,,,0,,29.52,,0,1
13,2021-02-01,2071.3367516897715,,1913.0,369.4,24758.891829752443,1.1368683772161603e-13,1701.9367516897714,,,0,,29.52,,0,2
14,2021-03-01,2189.443966343695,,1913.0,369.4,24851.847863408748,1.1368683772161603e-13,1820.043966343695,,,0,,29.52,,0,3
15,2021-04-01,2380.880138341624,,1913.0,369.4,24753.367725067124,1.1368683772161603e-13,2011.4801383416238,,,0,,29.52,,0,4
16,2021-05-01,2997.52792537858,,1913.0,369.4,24038.239799688545,1.1368683772161603e-13,2628.12792537858,,,0,,29.52,,0,5
17,2021-06-01,3496.4207751145364,,1913.0,369.4,22824.21902457401,1.1368683772161603e-13,3127.0207751145363,,,0,,29.52,,0,6
18,2021-07-01,3621.2038995341254,,1913.0,369.4,21485.415125039883,1.1368683772161603e-13,3251.8038995341253,,,0,,29.52,,0,7
19,2021-08-01,3470.8686338557636,,1913.0,369.4,20296.94649118412,1.1368683772161603e-13,3101.4686338557635,,,0,,29.52,,0,8
20,2021-09-01,3146.419330851334,,1913.0,369.4,19432.927160332787,1.1368683772161603e-13,2777.019330851334,,,0,,29.52,,0,9
21,2021-10-01,2839.895471068888,,1913.0,369.4,18875.4316892639,1.1368683772161603e-13,2470.495471068888,,,0,,29.52,,0,10
22,2021-11-01,2430.3997711045386,,1913.0,369.4,18727.43191815936,1.1368683772161603e-13,2060.9997711045385,,,0,,29.52,,0,11
23,2021-12-01,1975.532693126039,,1913.0,369.4,19034.29922503332,0,1606.1326931260392,,,0,,29.52,,0,12
24,2022-01-01,1917.0227801823576,,1913.0,369.4,19399.67644485096,1.1368683772161603e-13,1547.6227801823575,,,0,,29.52,,0,1
25,2022-02-01,2071.3367516897715,,1913.0,369.4,19610.739693161187,1.1368683772161603e-13,1701.9367516897714,,,0,,29.52,,0,2
26,2022-03-01,2189.443966343695,,1913.0,369.4,19703.695726817492,1.1368683772161603e-13,1820.043966343695,,,0,,29.52,,0,3
27,2022-04-01,2380.880138341624,,1913.0,369.4,19605.21558847587,1.1368683772161603e-13,2011.4801383416238,,,0,,29.52,,0,4
28,2022-05-01,2997.52792537858,,1913.0,369.4,18890.08766309729,1.1368683772161603e-13,2628.12792537858,,,0,,29.52,,0,5
29,2022-06-01,3496.4207751145364,,1873.14583333333,369.4,17636.212721316082,1.1368683772161603e-13,3127.0207751145363,,,0,,29.52,,0,6
30,2022-07-01,3621.2038995341254,,1833.29166666667,369.4,16217.700488448627,1.1368683772161603e-13,3251.8038995341253,,,0,,29.52,,0,7
31,2022-08-01,3470.8686338557636,,1793.4375,369.4,14909.669354592863,1.1368683772161603e-13,3101.4686338557635,,,0,,29.52,,0,8
32,2022-09-01,3146.419330851334,,1753.58333333333,369.4,13886.23335707486,1.1368683772161603e-13,2777.019330851334,,,0,,29.52,,0,9
33,2022-10-01,2839.895471068888,,1713.72916666667,369.4,13129.467052672642,1.1368683772161603e-13,2470.495471068888,,,0,,29.52,,0,10
34,2022-11-01,2430.3997711045386,,1673.875,369.4,12742.342281568104,1.1368683772161603e-13,2060.9997711045385,,,0,,29.52,,0,11
35,2022-12-01,1975.532693126039,,1634.02083333333,369.4,12770.230421775395,0,1606.1326931260392,,,0,,29.52,,0,12
36,2023-01-01,1917.0227801823576,,1594.16666666667,369.4,12816.774308259708,1.1368683772161603e-13,1547.6227801823575,,,0,,29.52,,0,1
37,2023-02-01,2071.3367516897715,,1554.3125,369.4,12669.150056569937,1.1368683772161603e-13,1701.9367516897714,,,0,,29.52,,0,2
38,2023-03-01,2189.443966343695,,1514.45833333333,369.4,12363.564423559572,1.1368683772161603e-13,1820.043966343695,,,0,,29.52,,0,3
39,2023-04-01,2380.880138341624,,1474.60416666667,369.4,11826.688451884618,1.1368683772161603e-13,2011.4801383416238,,,0,,29.52,,0,4
40,2023-05-01,2997.52792537858,,1434.75,369.4,10633.310526506039,1.1368683772161603e-13,2628.12792537858,,,0,,29.52,,0,5
41,2023-06-01,3496.4207751145364,,1434.75,369.4,8941.039751391501,1.1368683772161603e-13,3127.0207751145363,,,0,,29.52,,0,6
42,2023-07-01,3621.2038995341254,,1434.75,369.4,7123.9858518573765,1.1368683772161603e-13,3251.8038995341253,,YES,0,,29.52,,0,7
43,2023-08-01,2742.403448743169,,1434.75,369.4,6185.732403114207,1.1368683772161603e-13,2373.003448743169,,,0.25,,32.74364952425139,,0.044772910059047065,8
44,2023-09-01,2509.9613760864504,,1434.75,369.4,5479.921027027756,1.1368683772161603e-13,2140.5613760864503,,,0.25,,32.74364952425139,,0.044772910059047065,9
45,2023-10-01,2290.36145515336,,1434.75,369.4,4993.709571874397,1.1368683772161603e-13,1920.96145515336,,,0.25,,32.74364952425139,,0.044772910059047065,10
46,2023-11-01,1996.99041578815,,1434.75,369.4,4800.869156086246,0,1627.59041578815,,,0.25,,32.74364952425139,,0.044772910059047065,11
47,2023-12-01,1671.11439938264,,1434.75,369.4,4933.904756703607,1.1368683772161603e-13,1301.7143993826398,,,0.25,,32.74364952425139,,0.044772910059047065,12
48,2024-01-01,1629.1967089772218,,1434.75,369.4,5108.858047726385,0,1259.796708977222,,,0.25,,32.74364952425139,,0.044772910059047065,1
