,Date,baselineDemand,,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,buildStatus,fixedCharge,tieredPrices,pedReduction,month
0,2020-01-01,1962.4180977257472,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,1
1,2020-02-01,2123.6338520567747,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,2
2,2020-03-01,2247.0234811121973,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,3
3,2020-04-01,2447.0217481090876,,1913.0,369.4,29835.378251890914,1.1368683772161603e-13,2077.6217481090875,,,0,,29.52,,0,4
4,2020-05-01,3091.2494688566258,,1913.0,369.4,29026.52878303429,1.1368683772161603e-13,2721.8494688566257,,,0,,29.52,,0,5
5,2020-06-01,3612.4555937127525,,1913.0,369.4,27696.473189321536,1.1368683772161603e-13,3243.0555937127524,,,0,,29.52,,0,6
6,2020-07-01,3742.8197165110564,,1913.0,369.4,26236.05347281048,1.1368683772161603e-13,3373.4197165110563,,,0,,29.52,,0,7
7,2020-08-01,3585.760617959322,,1913.0,369.4,24932.692854851157,1.1368683772161603e-13,3216.360617959322,,,0,,29.52,,0,8
8,2020-09-01,3246.800129708768,,1913.0,369.4,23968.29272514239,1.1368683772161603e-13,2877.400129708768,,,0,,29.52,,0,9
9,2020-10-01,2926.566810634928,,1913.0,369.4,23324.125914507462,1.1368683772161603e-13,2557.166810634928,,,0,,29.52,,0,10
10,2020-11-01,2498.756175472233,,1913.0,369.4,23107.76973903523,1.1368683772161603e-13,2129.3561754722327,,,0,,29.52,,0,11
11,2020-12-01,2023.5449008202104,,1913.0,369.4,23366.62483821502,1.1368683772161603e-13,1654.1449008202103,,,0,,29.52,,0,12
12,2021-01-01,1962.4180977257472,,1913.0,369.4,23686.60674048927,0,1593.0180977257473,,,0,,29.52,,0,1
13,2021-02-01,2123.6338520567747,,1913.0,369.4,23845.372888432496,1.1368683772161603e-13,1754.2338520567746,,,0,,29.52,,0,2
14,2021-03-01,2247.0234811121973,,1913.0,369.4,23880.749407320298,1.1368683772161603e-13,1877.6234811121972,,,0,,29.52,,0,3
15,2021-04-01,2447.0217481090876,,1913.0,369.4,23716.12765921121,1.1368683772161603e-13,2077.6217481090875,,,0,,29.52,,0,4
16,2021-05-01,3091.2494688566258,,1913.0,369.4,22907.278190354587,1.1368683772161603e-13,2721.8494688566257,,,0,,29.52,,0,5
17,2021-06-01,3612.4555937127525,,1913.0,369.4,21577.222596641834,1.1368683772161603e-13,3243.0555937127524,,,0,,29.52,,0,6
18,2021-07-01,3742.8197165110564,,1913.0,369.4,20116.802880130777,1.1368683772161603e-13,3373.4197165110563,,,0,,29.52,,0,7
19,2021-08-01,3585.760617959322,,1913.0,369.4,18813.442262171455,1.1368683772161603e-13,3216.360617959322,,,0,,29.52,,0,8
20,2021-09-01,3246.800129708768,,1913.0,369.4,17849.042132462688,1.1368683772161603e-13,2877.400129708768,,,0,,29.52,,0,9
21,2021-10-01,2926.566810634928,,1913.0,369.4,17204.87532182776,1.1368683772161603e-13,2557.166810634928,,,0,,29.52,,0,10
22,2021-11-01,2498.756175472233,,1913.0,369.4,16988.519146355527,1.1368683772161603e-13,2129.3561754722327,,,0,,29.52,,0,11
23,2021-12-01,2023.5449008202104,,1913.0,369.4,17247.374245535317,1.1368683772161603e-13,1654.1449008202103,,,0,,29.52,,0,12
24,2022-01-01,1962.4180977257472,,1913.0,369.4,17567.35614780957,0,1593.0180977257473,,,0,,29.52,,0,1
25,2022-02-01,2123.6338520567747,,1913.0,369.4,17726.122295752793,1.1368683772161603e-13,1754.2338520567746,,,0,,29.52,,0,2
26,2022-03-01,2247.0234811121973,,1913.0,369.4,17761.498814640596,1.1368683772161603e-13,1877.6234811121972,,,0,,29.52,,0,3
27,2022-04-01,2447.0217481090876,,1913.0,369.4,17596.87706653151,1.1368683772161603e-13,2077.6217481090875,,,0,,29.52,,0,4
28,2022-05-01,3091.2494688566258,,1913.0,369.4,16788.02759767488,1.1368683772161603e-13,2721.8494688566257,,,0,,29.52,,0,5
29,2022-06-01,3612.4555937127525,,1873.14583333333,369.4,15418.11783729546,1.1368683772161603e-13,3243.0555937127524,,,0,,29.52,,0,6
30,2022-07-01,3742.8197165110564,,1833.29166666667,369.4,13877.989787451073,1.1368683772161603e-13,3373.4197165110563,,,0,,29.52,,0,7
31,2022-08-01,3585.760617959322,,1793.4375,369.4,12455.06666949175,1.1368683772161603e-13,3216.360617959322,,,0,,29.52,,0,8
32,2022-09-01,3246.800129708768,,1753.58333333333,369.4,11331.249873116312,1.1368683772161603e-13,2877.400129708768,,,0,,29.52,,0,9
33,2022-10-01,2926.566810634928,,1713.72916666667,369.4,10487.812229148054,1.1368683772161603e-13,2557.166810634928,,,0,,29.52,,0,10
34,2022-11-01,2498.756175472233,,1673.875,369.4,10032.331053675822,1.1368683772161603e-13,2129.3561754722327,,,0,,29.52,,0,11
35,2022-12-01,2023.5449008202104,,1634.02083333333,369.4,10012.206986188941,1.1368683772161603e-13,1654.1449008202103,,,0,,29.52,,0,12
36,2023-01-01,1962.4180977257472,,1594.16666666667,369.4,10013.355555129863,0,1593.0180977257473,,,0,,29.52,,0,1
37,2023-02-01,2123.6338520567747,,1554.3125,369.4,9813.434203073088,1.1368683772161603e-13,1754.2338520567746,,,0,,29.52,,0,2
38,2023-03-01,2247.0234811121973,,1514.45833333333,369.4,9450.26905529422,1.1368683772161603e-13,1877.6234811121972,,,0,,29.52,,0,3
