"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
"1500000US060379203313","Block Group 3, Census Tract 9203.31, Los Angeles County, California","190","40","0","12","0","12","0","12","0","12","0","12","0","12","7","12","0","12","12","20","9","14","44","34","8","13","19","15","54","33","25","23","12","19"
"1500000US060379203321","Block Group 1, Census Tract 9203.32, Los Angeles County, California","353","41","4","7","8","9","11","12","0","12","23","25","33","24","4","7","6","9","19","23","26","21","58","30","40","22","34","19","35","18","23","24","29","19"
"1500000US060379203322","Block Group 2, Census Tract 9203.32, Los Angeles County, California","229","39","5","7","0","12","0","12","5","7","0","12","9","10","0","12","0","12","0","12","14","15","8","8","27","24","37","29","22","16","32","19","70","29"
"1500000US060379203341","Block Group 1, Census Tract 9203.34, Los Angeles County, California","406","118","11","17","0","12","0","12","0","12","82","91","0","12","24","27","40","50","20","24","20","24","11","18","52","64","11","18","9","16","30","46","96","51"
"1500000US060379203342","Block Group 2, Census Tract 9203.34, Los Angeles County, California","405","99","0","12","0","12","0","12","43","64","0","12","0","12","0","12","0","12","29","45","0","12","53","55","20","24","76","71","37","42","53","43","94","60"
"1500000US060379203343","Block Group 3, Census Tract 9203.34, Los Angeles County, California","825","140","114","90","13","20","34","35","0","12","38","40","10","16","29","46","70","76","0","12","44","47","133","81","71","43","130","80","59","44","51","61","29","34"
"1500000US060379203344","Block Group 4, Census Tract 9203.34, Los Angeles County, California","548","99","0","12","0","12","0","12","9","14","0","12","0","12","20","23","0","12","12","20","27","32","57","48","90","57","49","72","144","79","49","42","91","53"
"1500000US060379203361","Block Group 1, Census Tract 9203.36, Los Angeles County, California","373","77","22","35","9","14","0","12","10","16","0","12","48","49","29","26","0","12","10","16","31","28","31","23","83","50","0","12","8","14","71","55","21","22"
"1500000US060379203362","Block Group 2, Census Tract 9203.36, Los Angeles County, California","425","108","44","43","37","45","20","24","11","17","0","12","0","12","9","15","0","12","0","12","50","47","22","24","70","62","78","43","53","45","9","16","22","36"
"1500000US060379203363","Block Group 3, Census Tract 9203.36, Los Angeles County, California","503","93","30","36","0","12","9","14","75","51","37","25","21","24","23","36","78","67","12","18","104","75","50","48","52","45","12","17","0","12","0","12","0","12"
