,Date,totalDemand,residentialDemand,otherDemand,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,fixedCharge,tieredPrices,pedReduction,annualRevenueLost,monthlyVolumeReduced,month
0,2009-01-01,204.69937546486392,159.07437546486392,45.625,218.65,13.73833333,2781.1,0,20,,,0,10.99,,0,,,1
1,2009-02-01,208.51570354477383,155.46570354477382,53.05,155.20999999,13.73833333,2800.0,0.0,355.9991897752261,,,0,10.99,,0,,,2
2,2009-03-01,204.74630838324853,150.24630838324853,54.5,210.93999999,13.73833333,2800.0,0,241.80077709999978,,,0,10.99,,0,,,3
3,2009-04-01,225.28205292988255,166.63205292988255,58.65,255.62999999,13.73833333,2771.0,0,20,,,0,10.99,,0,,,4
4,2009-05-01,210.2171044575015,191.55988758576217,64.7325,270.88000001,13.73833333,2738.0,0,20,,,0.16,16.532223335401298,,0.03552181505229744,6679175.425807394,30.64958201372197,5
5,2009-06-01,229.36901260263502,205.04874848544682,74.4075,287.58000001,13.73833333,2705.0,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,6
6,2009-07-01,234.73567847747677,210.89392855121633,75.15,297.81999999,13.73833333,2667.0,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,7
7,2009-08-01,232.38901173632917,201.8282482499115,81.03,285.94000001,13.73833333,2629.0,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,8
8,2009-09-01,227.27314598694383,201.79555014755599,75.0425,261.78,13.73833333,2596.0,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,9
9,2009-10-01,216.71587913485538,191.31922534688195,72.6075,211.43,13.73833333,2690.1716565,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,10
10,2009-11-01,231.1349667590549,165.67245299355233,71.3475,221.27,13.73833333,2671.2716565,0,20,,,0.0,10.99,,0.03552181505229744,0.0,0.0,11
11,2009-12-01,208.63422214416818,153.90365947179717,60.1975,177.21,13.73833333,2676.0688374558317,0.0,20,,,0.0,10.99,,0.03552181505229744,,,12
12,2010-01-01,199.04876492004126,159.07437546486392,45.625,169.33026756,12.05666667,2800.0,0.0,99.65915176579028,,,0.0,10.99,,0.03552181505229744,,,1
13,2010-02-01,202.9932795764811,155.46570354477382,53.05,143.4904075,12.05666667,2798.498132253519,0.0,20,,,0.0,10.99,,0.03552181505229744,,,2
14,2010-03-01,199.40928680456835,150.24630838324853,54.5,205.51058001,12.05666667,2795.564828463519,0,20,,,0.0,10.99,,0.03552181505229744,,,3
15,2010-04-01,219.3629799639226,166.63205292988255,58.65,193.6405773,12.05666667,2752.8990924695963,0.0,20,,,0.0,10.99,,0.03552181505229744,,,4
16,2010-05-01,249.4878326875018,191.55988758576217,64.7325,245.8005449,12.05666667,2738.472596219596,0,20,,,0.0,10.99,,0.03552181505229744,,,5
17,2010-06-01,272.1725447650417,205.04874848544682,74.4075,313.0034509,12.05666667,2705.472596219596,0,20,,,0.0,10.99,,0.03552181505229744,,,6
18,2010-07-01,278.55259342556764,210.89392855121633,75.15,316.60038094000004,12.05666667,2667.472596219596,0,20,,,0.0,10.99,,0.03552181505229744,,,7
19,2010-08-01,275.68894254324897,201.8282482499115,81.03,297.69031063,12.05666667,2629.472596219596,0,20,,,0.0,10.99,,0.03552181505229744,,,8
20,2010-09-01,269.66990593683784,201.79555014755599,75.0425,252.93325627,12.05666667,2591.7926132227585,5.684341886080802e-14,20,,,0.0,10.99,,0.03552181505229744,,,9
21,2010-10-01,257.1307192081612,191.31922534688195,72.6075,210.75022947,12.05666667,2529.772193926597,0.0,20,,,0.0,10.99,,0.03552181505229744,,,10
22,2010-11-01,231.1349667590549,165.67245299355233,71.3475,151.30028504,12.05666667,2466.881297717542,0.0,20,,,0.0,10.99,,0.03552181505229744,,,11
23,2010-12-01,208.63422214416818,153.90365947179717,60.1975,136.18032757,12.05666667,2701.052677013374,0.0,20,,,0.0,10.99,,0.03552181505229744,,,12
24,2011-01-01,199.04876492004126,159.07437546486392,45.625,202.27080079,13.55083333,2716.562536595374,0,20,,,0.0,10.99,,0.03552181505229744,,,1
25,2011-02-01,202.9932795764811,155.46570354477382,53.05,126.4445006,13.55083333,2708.7956804888927,0,20,,,0.0,10.99,,0.03552181505229744,,,2
26,2011-03-01,199.40928680456835,150.24630838324853,54.5,141.57156046,13.55083333,2722.9983864443243,0.0,20,,,0.0,10.99,,0.03552181505229744,,,3
27,2011-04-01,219.3629799639226,166.63205292988255,58.65,214.21484809999998,13.55083333,2722.380003584324,0,20,,,0.0,10.99,,0.03552181505229744,,,4
28,2011-05-01,249.4878326875018,191.55988758576217,64.7325,261.8400366,13.55083333,2689.380003584324,0,20,,,0.0,10.99,,0.03552181505229744,,,5
29,2011-06-01,272.1725447650417,205.04874848544682,74.4075,233.1779232,13.55083333,2630.9362153492825,0.0,20,,,0.0,10.99,,0.03552181505229744,,,6
30,2011-07-01,278.55259342556764,210.89392855121633,75.15,307.55321760000004,13.55083333,2592.9362153492825,0,20,,,0.0,10.99,,0.03552181505229744,,,7
31,2011-08-01,275.68894254324897,201.8282482499115,81.03,295.93317159000003,13.55083333,2554.9362153492825,0,20,,,0.0,10.99,,0.03552181505229744,,,8
32,2011-09-01,269.66990593683784,201.79555014755599,75.0425,271.89607645,13.55083333,2521.9362153492825,0,20,,,0.0,10.99,,0.03552181505229744,,,9
33,2011-10-01,257.1307192081612,191.31922534688195,72.6075,220.07087124000003,13.55083333,2470.730604483121,0.0,20,,,0.0,10.99,,0.03552181505229744,,,10
34,2011-11-01,231.1349667590549,165.67245299355233,71.3475,195.88477554,13.55083333,2483.473045974066,0.0,20,,,0.0,10.99,,0.03552181505229744,,,11
35,2011-12-01,208.63422214416818,153.90365947179717,60.1975,216.89085868,13.55083333,2464.5730459740657,0,20,,,0.0,10.99,,0.03552181505229744,,,12
36,2012-01-01,199.04876492004126,159.07437546486392,45.625,209.27082852,13.5575,2591.6743455240658,0,20,,,0.0,10.99,,0.03552181505229744,,,1
37,2012-02-01,202.9932795764811,155.46570354477382,53.05,209.35082880000002,13.5575,2594.0755991740657,0,20,,,0.0,10.99,,0.03552181505229744,,,2
38,2012-03-01,199.40928680456835,150.24630838324853,54.5,148.48058782,13.5575,2697.1129262894974,0.0,20,,,0.0,10.99,,0.03552181505229744,,,3
39,2012-04-01,219.3629799639226,166.63205292988255,58.65,165.56065551,13.5575,2684.370655355575,0.0,20,,,0.0,10.99,,0.03552181505229744,,,4
40,2012-05-01,210.2171044575015,191.55988758576217,64.7325,248.60098419999997,13.5575,2651.370655355575,0,20,,,0.16,16.532223335401298,,0.03552181505229744,6679175.425807394,30.64958201372197,5
41,2012-06-01,229.36901260263502,205.04874848544682,74.4075,279.40110618000006,13.5575,2647.632070035575,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,6
42,2012-07-01,234.73567847747677,210.89392855121633,75.15,311.41123289999996,13.5575,2609.632070035575,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,7
43,2012-08-01,232.38901173632917,201.8282482499115,81.03,305.84121085000004,13.5575,2571.632070035575,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,8
44,2012-09-01,227.27314598694383,201.79555014755599,75.0425,281.42111415,13.5575,2538.632070035575,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,9
45,2012-10-01,216.71587913485538,191.31922534688195,72.6075,241.63095658999998,13.5575,2579.657437695575,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,10
46,2012-11-01,231.1349667590549,165.67245299355233,71.3475,168.86066851,13.5575,2800.0,0.0,75.97630984652005,,,0.0,10.99,,0.03552181505229744,0.0,0.0,11
47,2012-12-01,208.63422214416818,153.90365947179717,60.1975,117.46046504,13.5575,2785.695935825832,0.0,20,,,0.0,10.99,,0.03552181505229744,,,12
48,2013-01-01,199.04876492004126,159.07437546486392,45.625,200.97650326000002,13.32,2790.974075795832,0,20,,,0.0,10.99,,0.03552181505229744,,,1
49,2013-02-01,202.9932795764811,155.46570354477382,53.05,190.471216467,13.32,2793.574160915832,0,20,,,0.0,10.99,,0.03552181505229744,,,2
50,2013-03-01,199.40928680456835,150.24630838324853,54.5,232.65315511,13.32,2800.0,0,26.965989375832123,,,0.0,10.99,,0.03552181505229744,,,3
51,2013-04-01,219.3629799639226,166.63205292988255,58.65,236.69693761000002,13.32,2778.853007727,0,20,,,0.0,10.99,,0.03552181505229744,,,4
52,2013-05-01,210.2171044575015,191.55988758576217,64.7325,265.78896558,13.32,2745.853007727,0,20,,,0.16,16.532223335401298,,0.03552181505229744,6679175.425807394,30.64958201372197,5
53,2013-06-01,229.36901260263502,205.04874848544682,74.4075,267.36291618,13.32,2712.853007727,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,6
54,2013-07-01,234.73567847747677,210.89392855121633,75.15,257.73475232,13.32,2682.836355831,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,7
55,2013-08-01,232.38901173632917,201.8282482499115,81.03,129.77650943,13.32,2574.836355831,19.29250230632917,20,,,0.16,16.532223335401298,,0.03552181505229744,,,8
56,2013-09-01,227.27314598694383,201.79555014755599,75.0425,158.10740199999998,13.32,2485.9906118440563,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,9
57,2013-10-01,216.71587913485538,191.31922534688195,72.6075,173.59150448999998,13.32,2428.945832291201,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,10
58,2013-11-01,194.8668470776061,165.67245299355233,71.3475,177.90437833000001,13.32,2406.403363543595,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,11
59,2013-12-01,175.8547216011013,153.90365947179717,60.1975,218.9007588,13.32,2387.503363543595,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,12
60,2014-01-01,167.65721253283468,159.07437546486392,45.625,237.62310502000003,15.66666667,2368.6033635435947,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,1
61,2014-02-01,171.04485484424407,155.46570354477382,53.05,158.37568978,15.66666667,2396.003546853595,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,2
62,2014-03-01,168.0488009158374,150.24630838324853,54.5,195.78701125,15.66666667,2428.103748763595,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,3
63,2014-04-01,184.85140316969495,166.63205292988255,58.65,200.79561400000003,15.66666667,2412.103800233595,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,4
64,2014-05-01,210.2171044575015,191.55988758576217,64.7325,226.64468498000002,15.66666667,2379.103800233595,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,5
65,2014-06-01,229.36901260263502,205.04874848544682,74.4075,212.73095722,15.66666667,2345.13241152096,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,6
66,2014-07-01,234.73567847747677,210.89392855121633,75.15,193.92414747,15.66666667,2281.987547183483,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,7
67,2014-08-01,232.38901173632917,201.8282482499115,81.03,161.6702937,15.66666667,2188.935495817154,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,8
68,2014-09-01,227.27314598694383,201.79555014755599,75.0425,149.59986888,15.66666667,2093.92888538021,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,9
69,2014-10-01,216.71587913485538,191.31922534688195,72.6075,161.04900996,15.66666667,2028.9286987113544,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,10
70,2014-11-01,194.8668470776061,165.67245299355233,71.3475,146.20571750000002,15.66666667,1997.6343173637486,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,11
71,2014-12-01,175.8547216011013,153.90365947179717,60.1975,91.94934249,15.66666667,2212.3968001626477,1.4210854715202004e-14,20,,,0.16,16.532223335401298,,0.03552181505229744,,,12
72,2015-01-01,167.65721253283468,159.07437546486392,45.625,189.45951377999998,15.65833333,2217.652130572648,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,1
73,2015-02-01,171.04485484424407,155.46570354477382,53.05,164.45697093,15.65833333,2363.9813682226477,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,2
74,2015-03-01,168.0488009158374,150.24630838324853,54.5,198.72345609999996,15.65833333,2437.5513488376478,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,3
75,2015-04-01,184.85140316969495,166.63205292988255,58.65,205.57284289,15.65833333,2413.302255587648,0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,4
76,2015-05-01,210.2171044575015,191.55988758576217,64.7325,193.91715472,15.65833333,2379.895251859146,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,5
77,2015-06-01,229.36901260263502,205.04874848544682,74.4075,204.64090926,15.65833333,2338.8062931855106,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,6
78,2015-07-01,234.73567847747677,210.89392855121633,75.15,163.67167017,15.65833333,2299.690643832034,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,7
79,2015-08-01,232.38901173632917,201.8282482499115,81.03,130.47397610000002,15.65833333,2191.690643832034,15.084942315329158,20,,,0.16,16.532223335401298,,0.03552181505229744,,,8
80,2015-09-01,227.27314598694383,201.79555014755599,75.0425,110.84471529,15.65833333,2088.690643832034,30.77009736694383,20,,,0.16,16.532223335401298,,0.03552181505229744,,,9
81,2015-10-01,216.71587913485538,191.31922534688195,72.6075,118.52502202,15.65833333,1989.6906438320339,12.532523784855385,20,,,0.16,16.532223335401298,,0.03552181505229744,,,10
82,2015-11-01,194.8668470776061,165.67245299355233,71.3475,138.39867104,15.65833333,1955.9576383044277,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,11
83,2015-12-01,175.8547216011013,153.90365947179717,60.1975,111.49315866,15.65833333,1955.7306081833265,0.0,20,,,0.16,16.532223335401298,,0.03552181505229744,,,12
84,2016-01-01,199.04876492004126,159.07437546486392,45.625,112.61408591,12.41666667,2124.259100033285,1.4210854715202004e-14,20,,,0.0,10.99,,0.03552181505229744,0.0,0.0,1
85,2016-02-01,202.9932795764811,155.46570354477382,53.05,165.95588530999999,12.41666667,2138.664894579804,0.0,20,,,0.0,10.99,,0.03552181505229744,,,2
86,2016-03-01,199.40928680456835,150.24630838324853,54.5,129.19012338,12.41666667,2580.2530874052354,0.0,20,,,0.0,10.99,,0.03552181505229744,,,3
87,2016-04-01,219.3629799639226,166.63205292988255,58.65,186.89832539,12.41666667,2546.204018410313,0.0,20,,,0.0,10.99,,0.03552181505229744,,,4
88,2016-05-01,249.4878326875018,191.55988758576217,64.7325,229.37299579999998,12.41666667,2508.7382895478113,0.0,20,,,0.0,10.99,,0.03552181505229744,,,5
89,2016-06-01,272.1725447650417,205.04874848544682,74.4075,245.61666537999997,12.41666667,2471.4104487277696,0,20,,,0.0,10.99,,0.03552181505229744,,,6
90,2016-07-01,278.55259342556764,210.89392855121633,75.15,239.74157281,12.41666667,2471.853915430202,0,20,,,0.0,10.99,,0.03552181505229744,,,7
91,2016-08-01,275.68894254324897,201.8282482499115,81.03,156.00113899000002,12.41666667,2363.853915430202,37.27113688324894,20,,,0.0,10.99,,0.03552181505229744,,,8
92,2016-09-01,269.66990593683784,201.79555014755599,75.0425,136.39794624,12.41666667,2260.853915430202,50.85529302683781,20,,,0.0,10.99,,0.03552181505229744,,,9
93,2016-10-01,257.1307192081612,191.31922534688195,72.6075,124.93451009,12.41666667,2161.853915430202,1.9087804081612347,20,,,0.0,10.99,,0.03552181505229744,,,10
94,2016-11-01,231.1349667590549,165.67245299355233,71.3475,154.0427748,12.41666667,2089.852615641147,0.0,20,,,0.0,10.99,,0.03552181505229744,,,11
95,2016-12-01,208.63422214416818,153.90365947179717,60.1975,100.29692026999999,12.41666667,2000.9526156411468,7.5426420141681945,20,,,0.0,10.99,,0.03552181505229744,,,12
96,2017-01-01,199.04876492004126,159.07437546486392,45.625,111.77013197,14.12583333,2158.768836121106,0.0,20,,,0.0,10.99,,0.03552181505229744,,,1
97,2017-02-01,202.9932795764811,155.46570354477382,53.05,90.43992924,14.12583333,2083.2251855446248,0.0,20,,,0.0,10.99,,0.03552181505229744,,,2
98,2017-03-01,199.40928680456835,150.24630838324853,54.5,186.77124348,14.12583333,2067.802015106625,0,20,,,0.0,10.99,,0.03552181505229744,,,3
99,2017-04-01,219.3629799639226,166.63205292988255,58.65,191.13112918,14.12583333,2025.4128697277024,0.0,20,,,0.0,10.99,,0.03552181505229744,,,4
100,2017-05-01,249.4878326875018,191.55988758576217,64.7325,230.90775374999998,14.12583333,1989.8387840612006,0.0,20,,,0.0,10.99,,0.03552181505229744,,,5
101,2017-06-01,272.1725447650417,205.04874848544682,74.4075,239.54280376,14.12583333,1938.3348763861588,0,20,,,0.0,10.99,,0.03552181505229744,,,6
102,2017-07-01,278.55259342556764,210.89392855121633,75.15,286.08083548,14.12583333,1900.3348763861588,0,20,,,0.0,10.99,,0.03552181505229744,,,7
103,2017-08-01,275.68894254324897,201.8282482499115,81.03,273.91030274,14.12583333,1862.3348763861588,0,20,,,0.0,10.99,,0.03552181505229744,,,8
104,2017-09-01,269.66990593683784,201.79555014755599,75.0425,215.09094903,14.12583333,1788.881752809321,0.0,20,,,0.0,10.99,,0.03552181505229744,,,9
105,2017-10-01,257.1307192081612,191.31922534688195,72.6075,232.69015843000003,14.12583333,1749.5670253611597,0.0,20,,,0.0,10.99,,0.03552181505229744,,,10
106,2017-11-01,231.1349667590549,165.67245299355233,71.3475,129.96890714,14.12583333,1660.6670253611596,17.040226289054885,20,,,0.0,10.99,,0.03552181505229744,,,11
107,2017-12-01,208.63422214416818,153.90365947179717,60.1975,191.03989087000002,14.12583333,1638.2985274169914,0.0,20,,,0.0,10.99,,0.03552181505229744,,,12
108,2018-01-01,199.04876492004126,159.07437546486392,45.625,165.49969396,14.13333333,1655.98278339695,0.0,20,,,0.0,10.99,,0.03552181505229744,,,1
109,2018-02-01,202.9932795764811,155.46570354477382,53.05,161.60903373,14.13333333,1609.8318708804688,0.0,20,,,0.0,10.99,,0.03552181505229744,,,2
110,2018-03-01,199.40928680456835,150.24630838324853,54.5,115.67708478,14.13333333,1698.5396407459004,0.0,20,,,0.0,10.99,,0.03552181505229744,,,3
111,2018-04-01,211.90128264960487,166.63205292988255,58.65,178.00585319,14.13333333,1665.6690018462955,0.0,20,,,0.05,12.741966433932308,,0.013371204124778449,2111371.2754256576,8.33160264649418,4
112,2018-05-01,241.04445116539665,191.55988758576217,64.7325,185.66335033000001,14.13333333,1591.4212343408988,0.0,20,,,0.05,12.741966433932308,,0.013371204124778449,,,5
113,2018-06-01,262.8787748232217,205.04874848544682,74.4075,211.39905777,14.13333333,1521.0748506176772,0.0,20,,,0.05,12.741966433932308,,0.013371204124778449,,,6
114,2018-07-01,269.0628216446875,210.89392855121633,75.15,226.65539893,14.13333333,1454.8007612329895,0.0,20,,,0.05,12.741966433932308,,0.013371204124778449,,,7
115,2018-08-01,266.15158346719465,201.8282482499115,81.03,189.18254049,14.13333333,1353.965051585795,0.0,20,,,0.05,12.741966433932308,,0.013371204124778449,,,8
