Year,Month,Amt directly diverted or collected to sotrage (MG)
2008,January,102.1939654
2008,February,118.1214933
2008,March,128.3408899
2008,April,103.5442761
2008,May,121.6507144
2008,June,106.7359194
2008,July,109.8354962
2008,August,105.1094089
2008,September,98.6340555
2008,October,97.28374485
2008,November,91.69836896
2008,December,97.89752242
2009,January,95.68792316
2009,February,79.45350644
2009,March,117.446338
2009,April,101.8563877
2009,May,106.9507416
2009,June,103.820476
2009,July,101.1505435
2009,August,101.6722545
2009,September,73.99088606
2009,October,82.85997195
2009,November,78.10319578
2009,December,79.08523989
2010,January,96.05657
2010,February,92.956981
2010,March,131.226164
2010,April,123.830115
2010,May,118.520918
2010,June,100.96681
2010,July,99.401671
2010,August,103.698131
2010,September,88.752588
2010,October,84.39475
2010,November,96.516905
2010,December,98.481001
2011,January,104.3426
2011,February,102.593327
2011,March,111.769338
2011,April,128.402776
2011,May,112.567252
2011,June,116.648889
2011,July,115.69753
2011,August,108.761816
2011,September,100.383719
2011,October,106.981854
2011,November,97.775154
2011,December,96.179326
2012,January,98.266178
2012,February,86.972626
2012,March,81.203094
2012,April,50.882362
2012,May,84.885774
2012,June,100.475786
2012,July,94.430053
2012,August,97.621709
2012,September,90.992885
2012,October,89.796014
2012,November,84.302683
2012,December,27.190454
2013,January,18.11
2013,February,3.02
2013,March,79.3
2013,April,87.92
2013,May,68.31
2013,June,90.81
2013,July,91.15
2013,August,91.21
2013,September,79.82
2013,October,81.56
2013,November,79.74
2013,December,76.29
2014,January,76.29
2014,February,103.23
2014,March,87.69
2014,April,59.33
2014,May,84.96
2014,June,85.04
2014,July,91.65
2014,August,92.21
2014,September,87.8
2014,October,86.8
2014,November,83.37
2014,December,138.1
2015,January,95.22
2015,February,85.3
2015,March,80.59
2015,April,95.43
2015,May,92.32
2015,June,87.68
2015,July,89.05
2015,August,92.42
2015,September,87.15
2015,October,85.19
2015,November,82.05
2015,December,101.82
2016,January,86.45
2016,February,112.84
2016,March,127.57
2016,April,109.44
2016,May,81.69
2016,June,105.11
2016,July,101.49
2016,August,103.7
2016,September,83.63
2016,October,58.92
2016,November,66.59
2016,December,65.98
2017,January,85.13
2017,February,49.32
2017,March,79.24
2017,April,18.01
2017,May,51.04
2017,June,31.21
2017,July,113.73
2017,August,126.65
2017,September,88.41
2017,October,63
2017,November,108.49
2017,December,102.72
2018,January,120.53
2018,February,113.92
2018,March,125.23
2018,April,115.97
2018,May,88.89
2018,June,109.6
2018,July,118.35
2018,August,119.67
2018,September,115.34
2018,October,115.48
2018,November,110.72
2018,December,118.77
2019,January,115.79
2019,February,35.37
2019,March,20.93
2019,April,59.47
2019,May,38.84
2019,June,54.47
2019,July,78.62
2019,August,107.5
2019,September,76.75
2019,October,98.76
2019,November,75.42
2019,December,105.38
